Label,Id
milk,1
vegetable oil,2
eggs,3
tomatoes,4
green chilies,5
green tomatoes,6
yellow onion,7
cooking oil,8
purple onion,9
garlic,10
natural yogurt,11
oil,12
bay leaf,13
onions,14
shallots,15
powdered sugar,16
ground ginger,17
ground cinnamon,18
sugar,19
rice,20
chicken broth,21
bacon,22
potatoes,23
cheese,24
cream cheese,25
salami,26
Oscar Mayer Deli Fresh Smoked Ham,27
hoagie rolls,28
giardiniera,29
mozzarella cheese,30
lemon olive oil,31
bacon drippings,32
white cornmeal,33
buttermilk,34
crawfish,35
lemon,36
pesto,37
allspice,38
fresh thyme,39
1% low-fat milk,40
leeks,41
low-fat sour cream,42
yukon gold potatoes,43
unsweetened coconut milk,44
dry sherry,45
spareribs,46
golden brown sugar,47
long-grain rice,48
crusty bread,49
baby potatoes,50
